aid,1,2,3,4,5
a1981_003,a1966_002,a1981_010,a1981_012,a1982_005,a1981_011
a1981_004,a1997_016,a1996_002,a2001_018,a2000_005,a1997_017
a1981_005,a1981_006,a1982_001,a1981_017,a1980_001,a1992_004
a1981_006,a1981_005,a1982_001,a1980_001,a1989_017,a1981_018
a1981_007,a1999_043,a1981_009,a1980_021,a1980_011,a1981_016
a1981_008,a1991_001,a1998_016,a1981_004,a2000_001,a1992_002
a1981_009,a1999_043,a1980_011,a2001_032,a1980_001,a2001_030
a1981_010,a1981_003,a1981_012,a1981_016,a1981_015,a1966_005
a1981_011,a2000_001,a1966_005,a1981_012,a1991_001,a2001_031
a1981_012,a1966_002,a1967_008,a2000_001,a1998_016,a1981_011
a1981_013,a1984_006,a1981_012,a1985_011,a1966_002,a1981_015
a1981_014,a1985_005,a1967_011,a1967_009,a1967_002,a1982_005
a1981_015,a1981_016,a1981_010,a1981_011,a1966_005,a1980_021
a1981_016,a1980_021,a1966_005,a1981_015,a2001_031,a1981_011
a1981_017,a1982_001,a1981_005,a2001_030,a2001_032,a1981_009
a1981_018,a1981_005,a1989_020,a1981_006,a1980_007,a1981_017
a1981_019,a1981_007,a1981_018,a1981_015,a1981_016,a1981_005
a1981_020,a1996_016,a1999_036,a1996_009,a1981_004,a1996_002
a1981_021,a1981_013,a1985_011,a1980_009,a1984_006,a1988_005
a1981_022,a2000_005,a1981_012,a1981_004,a1981_002,a1990_003
a1982_001,a2001_030,a2001_032,a1998_018,a1981_017,a1999_038
a1982_002,a1996_015,a1999_043,a1964_003,a1980_001,a2001_032
a1982_003,a2001_020,a1998_018,a1989_017,a1980_001,a1999_023
a1982_004,a1967_002,a2003_017,a2002_006,a1985_024,a1967_011
a1982_005,a1981_003,a1967_009,a1966_002,a1981_010,a1985_004
a1983_001,a1964_054,a1983_007,a2001_034,a1983_003,a1983_006
a1983_002,a1985_017,a1965_004,a2001_034,a1965_021,a1983_003
a1983_003,a1983_007,a1965_004,a1964_054,a1983_001,a1983_006
a1983_004,a2002_013,a1983_001,a1965_006,a1983_006,a1999_04
a1983_005,a1980_014,a1984_005,a1980_005,a1995_017,a1998_010
a1983_006,a1983_007,a1983_003,a1983_001,a1964_054,a1984_012
a1983_007,a1983_003,a1983_001,a1983_006,a1964_054,a1965_004
a1983_008,a1980_015,a1990_006,a1966_010,a1964_013,a1980_017
a1984_001,a1990_003,a1964_013,a1984_002,a1980_015,a1967_021
a1984_002,a1984_011,a1985_021,a1980_004,a1990_006,a1985_022
a1984_003,a1980_016,a1993_003,a1981_001,a1984_004,a1977_009
a1984_004,a1981_001,a1980_016,a2003_017,a1984_013,a1985_024
a1984_005,a1980_017,a1980_014,a1995_010,a1983_005,a1990_009
a1984_006,a1981_013,a1967_008,a1981_004,a1981_012,a1984_008
a1984_007,a1985_005,a1982_005,a1985_006,a1985_013,a1967_009
a1984_008,a1967_008,a1981_012,a1966_002,a1981_004,a2000_005
a1984_009,a1998_013,a1980_005,a2001_021,a1977_005,a1995_017
a1984_010,a1980_017,a1998_012,a1990_007,a1995_017,a1998_004
a1984_011,a1964_015,a1980_004,a1985_021,a1998_001,a1998_007
a1984_012,a1965_004,a1965_002,a1977_002,a1983_006,a1983_003
a1984_013,a2003_017,a1985_024,a1967_002,a1993_002,a1980_016
a1984_014,a2001_019,a1967_021,a1989_005,a1967_001,a1990_003
a1985_001,a1985_013,a1985_005,a1985_006,a1985_010,a1984_007
a1985_002,a1985_005,a1985_013,a1967_009,a1989_012,a1967_010
a1985_003,a1985_014,a1991_005,a1967_007,a1984_003,a1977_003
a1985_004,a1985_006,a1981_003,a1985_007,a1982_005,a1966_002
a1985_005,a1985_006,a1985_013,a1982_005,a1989_011,a1967_009
a1985_006,a1985_004,a1985_005,a1982_005,a1967_009,a1985_013
a1985_007,a1985_009,a1981_002,a1981_012,a1998_016,a1966_002
a1985_008,a1988_007,a1985_014,a1989_003,a1967_007,a1989_004
a1985_009,a1985_007,a1985_004,a1998_016,a1980_002,a1967_008
a1985_010,a1984_013,a1993_002,a1985_005,a1967_002,a1985_011
a1985_011,a1981_013,a2001_019,a1984_006,a1967_021,a1966_002
a1985_012,a1977_009,a1995_009,a1994_002,a1977_014,a1980_014
a1985_013,a1985_005,a1985_001,a1985_006,a1984_007,a1967_010
a1985_014,a1993_002,a1989_012,a1991_002,a2002_006,a1967_007
a1985_016,a2001_034,a1964_054,a1983_001,a1983_007,a1985_017
a1985_017,a1965_021,a1964_031,a1963_009,a1959_021,a1980_005
a1985_018,a1995_009,a1990_001,a1991_003,a1977_009,a1980_016
a1985_019,a1998_001,a1998_011,a1975_003,a1990_007,a1998_003
a1985_020,a1985_022,a1980_015,a1990_006,a1964_013,a1966_010
a1985_021,a1964_015,a1980_004,a2000_005,a1996_010,a1981_020
a1985_022,a1980_004,a1990_006,a1980_015,a1990_003,a1984_011
a1985_023,a1995_009,a1993_003,a1977_009,a1967_003,a1985_012
a1985_024,a2003_017,a1980_016,a2002_006,a1967_002,a1993_002
a1985_025,a1988_007,a1989_002,a1989_010,a1989_006,a1989_004
a1985_026,a1991_002,a1991_005,a1991_003,a1990_010,a1989_010
a1985_028,a1965_003,a1965_010,a1965_006,a1964_054,a1983_006
a1987_001,a2001_021,a1984_009,a1977_014,a1965_002,a1980_014
a1987_002,a2001_027,a1981_010,a1992_006,a1981_015,a1981_013
a1987_005,a2001_019,a1967_011,a1980_013,a1990_003,a1980_009
a1987_006,a1994_010,a1992_001,a1980_012,a1998_006,a1988_017
a1988_001,a1997_001,a1999_031,a1991_006,a1994_018,a1996_012
a1988_002,a1984_006,a1984_001,a1989_021,a1999_033,a1984_002
a1988_003,a1989_003,a1989_010,a1989_004,a1985_008,a1967_007
a1988_004,a1989_012,a1993_002,a2002_006,a1991_002,a1985_014
a1988_005,a1989_008,a1981_013,a1987_005,a1985_007,a1985_011
a1988_007,a1989_004,a1985_008,a1985_025,a1989_003,a1989_010
a1988_008,a1989_021,a1996_009,a1994_008,a1997_006,a1999_033
a1988_009,a1967_002,a1991_007,a1967_011,a1982_004,a1985_005
a1988_010,a1991_003,a1985_024,a1967_002,a1967_001,a1980_016
a1988_011,a1989_021,a1988_008,a1999_033,a2001_011,a1994_008
a1988_012,a1990_005,a1989_011,a2001_019,a1980_009,a1987_005
a1988_013,a1989_012,a1988_004,a1991_005,a1967_007,a1991_002
a1988_014,a1989_011,a1990_005,a1989_012,a1967_009,a1993_002
a1988_015,a1989_004,a1991_005,a1985_014,a1985_003,a1967_007
a1988_016,a1967_011,a1985_005,a1989_008,a1967_010,a1985_006
a1988_017,a1980_009,a1981_012,a1999_027,a1980_008,a2001_019
a1988_018,a1977_008,a1977_003,a1974_002,a1985_012,a1985_003
a1988_019,a1989_003,a1988_020,a1988_004,a1985_026,a1991_005
a1988_020,a1989_003,a1989_012,a1991_002,a1985_014,a1988_014
a1988_021,a1985_024,a1993_002,a2003_017,a1988_009,a1990_005
a1988_022,a1988_014,a1988_017,a1967_009,a1985_005,a1989_008
a1989_001,a1988_004,a1988_014,a1989_003,a1991_002,a1989_004
a1989_002,a1985_025,a1988_007,a1989_010,a1988_003,a1989_006
a1989_003,a1988_020,a1991_005,a1967_007,a1989_010,a1989_012
a1989_004,a1989_012,a1967_007,a1991_005,a1988_007,a1985_014
a1989_005,a2001_019,a1980_009,a1967_021,a1990_003,a1984_014
a1989_006,a1985_025,a1991_005,a1989_002,a1989_004,a1988_007
a1989_007,a1989_012,a1989_008,a1988_014,a1967_009,a1967_010
a1989_008,a1985_004,a1982_005,a1967_009,a1981_003,a1980_009
a1989_009,a1959_031,a1989_004,a1988_007,a1988_014,a1989_012
a1989_010,a1991_005,a1985_026,a1989_003,a1991_002,a1989_004
a1989_011,a1980_009,a1991_007,a1990_005,a2001_019,a1985_005
a1989_012,a1988_004,a1967_010,a1988_014,a1989_011,a1993_002
a1989_013,a1981_019,a1981_018,a1982_001,a1974_005,a1981_006
a1989_014,a1989_016,a1981_006,a1981_005,a1981_013,a1981_021
a1989_015,a1998_014,a1988_001,a1985_007,a1998_016,a1981_008
a1989_016,a1989_014,a1985_019,a1988_002,a1984_006,a1981_006
a1989_017,a1980_001,a1999_026,a2000_010,a2001_020,a1982_003
a1989_018,a1995_001,a1984_014,a1989_005,a1983_008,a1980_008
a1989_019,a2001_011,a1988_011,a1995_005,a2001_013,a2001_019
a1989_020,a1980_007,a1992_002,a1980_002,a1980_011,a1999_043
a1989_021,a1994_008,a1996_009,a1988_008,a1999_033,a1981_004
a1989_022,a2001_007,a2003_016,a1996_022,a2003_012,a2001_003
a1989_023,a1961_011,a1962_013,a1960_011,a1962_002,a1961_032
a1990_001,a1985_024,a1991_002,a1980_016,a2002_006,a1990_010
a1990_002,a1990_003,a1966_010,a1964_013,a1980_015,a1980_013
